,Winner,Map played,Map ban1,Map ban2,Map ban3,Map ban4,Map ban5,Map ban6,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Ban7,Ban8,Ban9,Ban10,PickW1,PickW2,PickW3,PickW4,PickL1,PickL2,PickL3,PickL4,Division,Ban11,Ban12,Ban13,Ban14
0,2,7,5,1,6,4,3,2,47,34,62,67,32,17,39,8,2,65,31,7,41,48,18,57,68,37,1,73,24,58,4
1,1,1,3,5,7,6,4,2,17,32,67,22,31,47,8,18,65,62,11,68,4,46,23,5,34,70,1,39,26,75,9
2,1,6,7,1,3,2,5,4,44,32,67,65,26,11,23,22,72,0,19,70,18,30,47,68,7,5,1,34,14,39,69
3,2,2,3,1,6,4,5,7,17,62,65,56,2,34,38,32,67,4,47,48,46,5,8,31,68,70,1,0,58,0,57
4,2,4,6,2,3,1,7,5,34,47,39,17,7,18,2,32,65,4,67,68,62,48,8,31,75,40,1,16,57,73,5
5,1,1,5,3,2,7,6,4,47,22,68,32,34,44,8,18,0,75,65,11,21,73,26,7,24,30,1,67,39,9,31
6,1,1,5,3,2,4,6,7,26,32,17,62,44,34,67,65,22,8,47,5,2,7,23,18,14,50,1,37,11,39,68
7,2,4,5,7,6,1,2,3,65,62,31,18,47,17,4,8,2,57,7,48,75,24,32,34,62,41,1,9,39,68,73
8,1,5,3,2,7,4,1,6,72,66,67,22,19,32,26,11,44,31,47,7,30,69,18,23,17,12,1,75,68,65,34
9,1,2,1,3,5,6,4,7,17,62,8,65,4,56,48,32,38,47,34,5,68,0,39,21,41,2,1,9,46,36,62
10,2,2,6,1,5,3,7,4,48,38,34,62,4,8,57,65,47,62,17,66,41,12,32,31,56,24,1,46,67,54,58
11,1,7,5,2,3,4,6,1,2,17,34,31,7,8,67,62,18,65,57,68,0,5,0,32,24,47,1,58,4,37,39
12,1,7,6,2,5,1,3,4,57,17,28,2,7,31,8,65,67,62,32,39,16,50,4,34,0,41,1,73,68,5,47
13,2,4,1,6,3,7,5,2,2,4,8,32,65,17,34,46,18,57,47,5,67,20,62,31,48,62,1,68,73,56,7
14,2,3,1,6,4,2,7,5,62,2,8,73,65,67,39,17,57,34,7,0,5,0,0,0,58,24,1,68,31,41,18
15,2,2,5,3,1,7,6,4,17,34,31,8,4,62,32,57,47,36,65,48,58,75,38,66,10,67,1,68,39,41,7
16,2,6,1,3,2,7,4,5,44,22,69,32,11,47,70,19,26,23,14,67,68,31,62,72,39,18,1,65,66,5,12
17,2,4,5,1,6,3,2,7,39,62,17,36,28,2,31,32,65,18,67,47,46,37,0,9,68,48,1,34,66,58,57
18,2,7,3,6,4,2,5,1,47,62,17,4,8,57,73,65,7,34,66,67,16,68,2,39,31,46,1,37,9,32,6
19,1,4,3,6,7,5,1,2,8,17,73,31,62,32,67,2,65,18,0,5,7,75,9,34,57,70,1,37,62,0,39
20,2,2,5,3,6,1,7,4,17,62,48,38,73,34,56,31,65,32,47,66,37,46,4,8,70,44,1,9,57,36,39
21,2,1,2,3,6,7,5,4,5,22,17,32,23,65,8,67,73,34,11,0,14,57,47,26,0,54,1,24,39,16,2
22,1,4,3,5,7,2,1,6,34,2,31,17,67,8,58,32,57,65,62,41,0,25,18,66,68,38,1,4,73,7,37
23,2,5,3,2,7,4,1,6,19,22,44,32,17,47,2,75,62,26,66,69,31,58,67,11,23,7,1,30,73,72,65
0,1,7,2,1,4,6,3,5,4,2,57,8,18,65,62,17,7,32,34,39,28,10,31,36,47,20,2,62,41,67,58
1,2,4,1,2,6,7,5,3,32,2,4,62,67,17,8,65,57,18,0,9,48,25,34,56,66,46,2,31,73,36,7
2,2,2,6,3,5,7,4,1,34,62,67,65,62,17,8,31,2,38,66,68,56,10,32,4,7,41,2,48,18,39,37
3,2,2,3,0,1,7,6,5,17,4,65,8,2,47,34,62,38,31,48,62,68,25,32,57,1,24,2,39,56,0,46
4,1,2,7,1,5,3,6,4,2,4,32,62,8,17,34,57,65,38,31,56,68,14,39,47,48,66,2,62,67,12,7
5,2,7,2,6,3,5,4,1,37,62,7,2,32,17,8,67,34,57,73,31,18,4,65,39,68,10,2,62,47,41,9
6,1,1,5,2,6,4,3,7,17,32,75,67,26,2,11,22,69,65,47,58,66,37,23,62,18,7,2,34,44,31,62
7,2,5,4,3,2,7,1,6,65,47,31,26,18,17,22,19,23,67,11,68,14,62,32,44,70,7,2,9,34,39,75
8,2,2,1,4,3,6,7,5,34,32,7,4,8,2,17,65,62,18,34,0,66,0,0,7,62,47,2,9,39,73,37
9,1,7,2,3,1,5,4,6,62,2,65,17,4,8,7,67,24,57,39,73,5,0,34,31,9,77,2,18,41,62,47
10,1,4,1,2,6,3,5,7,62,17,2,8,34,31,67,32,65,4,18,7,66,50,73,57,68,9,2,58,39,41,28
11,2,5,2,1,4,6,7,3,18,23,47,11,14,22,34,32,62,17,2,67,19,70,69,41,7,72,2,31,26,65,75
12,2,2,3,1,7,6,4,5,31,62,34,36,8,38,17,65,47,48,56,32,70,64,4,66,46,73,2,62,39,7,68
13,2,1,3,7,6,2,5,4,2,62,67,65,37,8,34,17,32,31,11,18,7,41,22,47,58,16,2,68,23,5,69
14,2,4,1,2,3,6,7,5,34,32,7,4,8,2,17,65,62,18,57,36,56,47,31,67,68,24,2,9,39,73,37
15,1,6,3,2,5,4,7,1,67,22,26,19,65,31,32,47,5,44,23,66,9,68,11,62,39,72,2,73,17,18,34
16,1,2,1,5,6,3,4,7,32,62,58,17,4,34,2,73,47,65,57,31,36,48,67,70,62,68,2,56,38,41,8
17,1,2,7,5,3,6,4,1,17,2,31,34,65,62,18,57,38,8,47,32,0,54,4,48,41,7,2,62,0,5,77
18,1,1,2,5,7,3,4,6,34,22,67,32,65,47,11,23,8,62,17,2,14,39,31,7,36,46,2,26,62,70,58
19,1,2,1,5,6,7,3,4,65,32,31,62,57,56,34,38,17,4,8,21,70,41,47,46,68,50,2,20,7,37,39
20,2,5,3,4,2,1,7,6,62,22,39,23,19,32,17,47,67,66,14,31,18,72,11,26,34,68,2,73,69,7,58
21,1,7,2,6,5,3,4,1,65,2,8,17,62,31,18,37,62,67,34,7,39,68,4,57,41,58,2,0,32,10,73
22,2,7,5,2,1,3,6,4,2,32,8,58,73,65,34,4,17,62,31,57,36,10,67,7,41,66,2,56,9,62,39
23,2,7,5,3,2,1,4,6,37,2,65,67,7,17,57,34,47,73,4,58,68,50,18,56,6,32,2,28,48,31,62
24,2,4,5,3,2,1,6,7,34,62,18,32,65,17,58,2,39,67,31,4,8,9,48,57,47,77,2,7,62,73,68
25,2,6,3,4,7,5,1,2,67,22,47,23,19,65,66,32,11,26,69,14,20,73,18,12,34,62,2,44,7,17,31
26,2,4,3,2,5,7,6,1,58,17,34,62,65,8,0,57,31,2,18,67,4,47,32,7,25,41,2,0,62,37,68
27,1,2,7,5,3,6,1,4,8,56,4,62,17,73,34,31,65,48,47,5,58,36,46,67,39,0,2,62,32,38,66
28,1,6,1,2,3,4,7,5,47,22,67,23,19,18,44,26,31,17,32,14,9,72,75,11,68,46,2,7,65,39,34
29,2,7,4,1,3,6,2,5,67,62,7,17,65,57,73,56,2,34,31,32,68,8,4,58,41,21,2,18,39,62,37
30,1,2,6,3,5,7,1,4,62,17,8,4,62,34,46,38,56,31,47,48,58,5,32,65,66,9,2,39,57,68,11
31,2,2,1,3,5,7,6,4,32,17,4,2,8,34,65,38,57,73,0,56,0,0,62,0,20,0,2,67,36,9,5
32,1,2,7,5,4,6,3,1,37,2,8,65,31,17,38,32,56,0,62,34,62,68,48,4,47,24,2,57,39,9,67
33,2,3,7,5,2,6,4,1,28,2,4,17,58,57,34,67,47,65,7,0,73,50,8,31,10,32,2,9,5,23,18
34,1,7,1,2,5,4,6,3,28,2,4,17,58,57,34,67,47,65,7,34,41,66,36,56,58,46,2,9,5,23,18
0,2,4,1,3,2,5,7,6,31,17,57,18,2,65,4,8,62,34,58,67,48,14,32,68,21,53,3,7,75,73,47
1,1,2,4,7,5,1,6,3,47,62,8,32,66,65,67,38,34,17,73,48,70,7,20,56,64,75,3,39,37,57,58
2,2,5,7,3,1,4,2,6,22,32,17,67,2,19,65,62,31,66,47,23,28,72,26,11,39,69,3,44,5,18,7
3,2,1,5,7,6,3,2,4,65,17,31,32,7,67,47,2,5,62,23,8,18,41,22,34,68,3,3,39,11,44,73
4,2,7,6,2,3,1,4,5,18,2,65,17,8,32,67,57,34,31,7,58,48,5,62,4,41,62,3,73,9,39,68
5,1,4,5,7,6,1,2,3,46,62,18,62,57,65,31,17,67,32,8,70,68,58,39,76,64,25,3,34,37,66,4
6,1,1,6,3,5,7,2,4,65,32,62,67,11,17,18,22,8,2,66,7,28,44,23,31,39,41,3,73,47,68,34
7,2,7,5,4,6,3,2,1,65,67,18,2,39,62,7,17,32,0,34,31,10,23,73,28,58,48,3,47,8,68,41
8,1,7,4,5,3,2,6,1,8,62,2,32,67,4,17,65,34,57,18,7,40,66,73,31,68,64,3,39,58,47,41
9,2,4,3,2,7,5,6,1,67,17,58,2,57,46,65,8,62,34,18,39,24,11,32,21,25,37,3,7,47,5,16
10,1,4,2,3,1,7,6,5,31,17,32,18,34,67,47,65,57,8,2,58,75,68,62,9,62,73,3,70,7,36,5
11,2,7,5,4,6,2,3,1,2,17,57,32,34,65,8,62,31,67,7,73,68,48,18,0,5,0,3,58,39,24,9
12,1,1,4,7,6,3,5,2,8,32,26,22,47,65,17,67,23,34,62,11,58,28,31,7,25,19,3,2,18,73,5
13,2,2,1,4,6,7,5,3,47,8,34,62,2,17,38,32,31,65,68,58,66,39,57,67,36,14,3,70,18,48,4
14,2,2,3,6,1,5,7,4,57,62,47,32,65,17,34,67,66,8,38,36,68,70,4,2,18,44,3,31,73,48,7
15,1,4,7,5,3,6,1,2,38,34,67,17,73,2,62,32,8,31,65,39,41,7,47,18,68,46,3,37,62,21,57
16,1,7,6,2,5,4,3,1,34,2,8,17,65,32,7,67,31,62,57,73,62,47,39,18,28,4,3,48,58,68,41
17,1,4,6,1,5,3,7,2,18,65,32,62,17,34,67,2,31,57,4,47,9,7,8,58,21,41,3,75,36,39,62
18,2,2,5,4,3,1,7,6,65,38,32,62,34,8,48,17,67,31,2,70,21,39,4,66,58,46,3,9,62,47,16
19,2,5,7,4,6,2,3,1,67,32,34,22,47,19,26,65,27,0,11,17,14,70,23,7,69,41,3,72,66,44,68
20,2,2,1,6,3,4,7,5,36,17,56,48,8,62,32,65,38,67,47,2,5,35,34,66,68,0,3,9,31,62,70
21,2,7,5,2,6,4,1,3,65,32,34,2,17,18,31,67,39,47,7,57,48,23,38,24,21,43,3,58,68,62,9
22,1,1,6,5,2,3,4,7,11,22,31,8,19,34,66,17,2,32,47,65,28,73,14,67,21,0,3,7,46,62,9
23,1,2,4,3,6,7,5,1,8,48,17,34,32,47,46,7,38,67,65,70,44,39,62,57,2,12,3,58,68,62,31
24,1,1,4,6,7,5,2,3,8,62,17,67,0,22,73,34,65,36,32,18,2,44,47,5,19,58,3,11,0,7,23
25,2,7,2,1,4,5,3,6,2,32,67,4,34,17,65,57,8,18,31,7,24,68,62,66,53,28,3,73,39,58,21
26,2,2,3,1,7,5,4,6,65,17,38,62,8,4,56,2,31,67,34,18,62,70,32,48,75,39,3,66,58,57,36
0,2,7,2,3,4,6,1,5,39,62,2,65,47,17,34,67,7,57,32,18,37,41,31,24,75,68,4,23,62,9,8
1,2,2,5,3,6,7,1,4,62,32,68,18,31,17,58,8,66,38,47,39,21,57,67,4,41,9,4,0,34,48,65
2,2,2,3,6,5,1,7,4,37,62,34,4,17,65,38,31,2,8,32,68,67,21,7,47,39,48,4,24,58,46,56
3,2,4,6,5,7,1,3,2,67,2,62,18,34,17,65,58,8,32,47,0,9,68,31,39,3,44,4,48,21,62,4
4,1,1,3,5,7,6,4,2,9,67,31,22,34,75,65,32,23,11,17,66,8,10,2,7,18,4,4,16,47,68,62
5,2,4,2,5,6,3,1,7,18,2,62,17,8,67,65,34,47,58,32,31,39,10,57,46,21,48,4,9,37,62,4
6,2,5,7,6,3,4,1,2,2,22,47,65,23,67,32,17,34,62,18,7,14,75,57,69,41,46,4,36,19,26,66
7,2,4,5,3,1,6,2,7,65,18,17,8,7,2,34,67,62,24,31,57,44,21,58,39,62,37,4,9,32,48,66
8,1,2,4,6,3,5,7,1,31,17,56,34,4,2,32,62,65,8,47,57,18,38,7,48,68,62,4,9,39,58,66
9,1,3,6,2,5,7,1,4,0,62,2,62,8,16,57,39,31,4,17,7,66,24,67,58,18,32,4,68,41,28,10
10,1,7,6,2,5,4,1,3,8,65,17,57,28,67,2,4,62,34,31,37,46,41,21,32,68,20,4,9,18,7,39
11,1,7,6,5,1,2,3,4,2,65,31,8,57,32,7,66,67,17,47,34,28,43,18,0,21,20,4,37,62,9,58
12,1,4,6,5,3,1,7,2,37,8,62,17,34,66,4,0,67,0,47,65,9,7,31,39,68,23,4,58,41,62,18
13,1,7,6,4,5,3,1,2,2,65,31,8,57,18,4,17,7,62,67,28,14,68,39,34,75,41,4,37,62,32,47
14,1,2,3,6,7,5,1,4,34,32,17,65,31,8,7,38,2,56,62,4,24,41,39,58,48,12,4,62,37,68,47
15,2,2,6,3,5,1,4,7,38,2,24,62,62,31,67,17,57,34,8,47,65,4,0,58,0,36,4,37,75,32,16
16,1,5,6,2,1,7,3,4,17,22,2,23,67,11,34,32,8,7,18,69,44,75,47,4,65,19,4,66,46,28,26
17,2,7,5,6,4,3,2,1,39,8,68,65,31,17,16,2,57,67,7,4,41,37,34,18,43,46,4,32,62,28,75
18,2,4,6,0,0,5,1,3,31,57,62,2,47,34,67,17,8,18,32,39,37,46,65,9,28,14,4,48,7,68,75
19,2,5,7,2,1,4,6,3,47,22,65,17,11,19,32,26,67,23,14,66,41,8,69,70,44,46,4,34,31,18,7
20,2,1,2,6,4,5,7,3,67,31,75,34,2,17,32,47,8,66,70,57,62,24,65,68,14,7,4,69,46,11,73
21,2,7,4,5,2,6,3,1,18,65,8,67,34,31,39,17,7,2,62,32,0,54,62,57,66,68,4,75,36,37,9
22,2,2,6,3,1,4,5,7,57,32,62,4,73,65,66,38,8,17,48,39,34,47,31,23,24,0,4,68,7,62,2
23,2,5,7,3,2,1,4,6,32,22,70,2,19,67,26,17,75,11,65,47,41,7,69,18,72,68,4,73,23,31,16
24,1,1,2,3,6,4,5,7,32,22,11,17,67,2,57,62,31,34,0,65,14,68,23,69,39,21,4,7,9,37,58
25,2,3,2,6,4,5,7,1,57,2,58,67,18,17,7,34,65,8,31,28,9,37,73,4,68,23,4,39,41,32,10
26,1,4,6,3,5,7,1,2,67,65,2,8,31,17,47,62,34,5,18,57,21,68,66,32,7,62,4,36,37,16,39
27,2,4,6,5,3,1,7,2,2,17,32,62,18,67,8,58,34,62,65,37,21,40,31,47,39,25,4,46,7,57,73
28,1,6,2,7,3,4,1,5,22,11,26,67,66,75,19,32,47,23,14,70,39,31,69,72,0,58,4,4,9,68,44
29,1,2,3,1,4,7,5,6,34,62,4,65,38,36,57,32,17,66,31,77,0,11,0,30,58,62,4,70,7,9,46
30,1,4,1,0,6,3,5,7,67,34,31,62,57,32,8,17,2,65,18,7,11,21,58,39,23,44,4,48,41,16,68
31,2,4,3,1,7,6,5,2,2,8,34,65,37,62,17,67,31,57,36,7,41,47,56,18,24,33,4,68,73,39,58
32,2,7,1,5,4,2,3,6,2,67,47,17,34,65,62,37,7,4,62,39,24,69,31,18,23,46,4,72,57,28,32
